District,Month,Visitors
Adilabad,January,0
Adilabad,February,0
Adilabad,March,0
Adilabad,April,0
Adilabad,May,0
Adilabad,June,0
Adilabad,July,0
Adilabad,August,0
Adilabad,September,0
Adilabad,October,0
Adilabad,November,0
Adilabad,December,0
Bhadradri Kothagudem ,January,0
Bhadradri Kothagudem ,February,0
Bhadradri Kothagudem ,March,0
Bhadradri Kothagudem ,April,0
Bhadradri Kothagudem ,May,0
Bhadradri Kothagudem ,June,0
Bhadradri Kothagudem ,July,0
Bhadradri Kothagudem ,August,0
Bhadradri Kothagudem ,September,0
Bhadradri Kothagudem ,October,0
Bhadradri Kothagudem ,November,0
Bhadradri Kothagudem ,December,0
Hyderabad,January,25174
Hyderabad,February,16521
Hyderabad,March,3724
Hyderabad,April,
Hyderabad,May,
Hyderabad,June,
Hyderabad,July,
Hyderabad,August,
Hyderabad,September,6
Hyderabad,October,76
Hyderabad,November,128
Hyderabad,December,230
Jagtial ,January,0
Jagtial ,February,0
Jagtial ,March,0
Jagtial ,April,0
Jagtial ,May,0
Jagtial ,June,0
Jagtial ,July,0
Jagtial ,August,0
Jagtial ,September,0
Jagtial ,October,0
Jagtial ,November,0
Jagtial ,December,0
Jangaon ,January,0
Jangaon ,February,0
Jangaon ,March,0
Jangaon ,April,0
Jangaon ,May,0
Jangaon ,June,0
Jangaon ,July,0
Jangaon ,August,0
Jangaon ,September,0
Jangaon ,October,0
Jangaon ,November,0
Jangaon ,December,0
Jayashankar Bhoopalpally,January,0
Jayashankar Bhoopalpally,February,0
Jayashankar Bhoopalpally,March,0
Jayashankar Bhoopalpally,April,0
Jayashankar Bhoopalpally,May,0
Jayashankar Bhoopalpally,June,0
Jayashankar Bhoopalpally,July,0
Jayashankar Bhoopalpally,August,0
Jayashankar Bhoopalpally,September,0
Jayashankar Bhoopalpally,October,0
Jayashankar Bhoopalpally,November,0
Jayashankar Bhoopalpally,December,0
Jogulamba Gadwal ,January,36
Jogulamba Gadwal ,February,6
Jogulamba Gadwal ,March,0
Jogulamba Gadwal ,April,0
Jogulamba Gadwal ,May,0
Jogulamba Gadwal ,June,0
Jogulamba Gadwal ,July,0
Jogulamba Gadwal ,August,0
Jogulamba Gadwal ,September,0
Jogulamba Gadwal ,October,0
Jogulamba Gadwal ,November,0
Jogulamba Gadwal ,December,0
Kamareddy ,January,0
Kamareddy ,February,0
Kamareddy ,March,0
Kamareddy ,April,0
Kamareddy ,May,0
Kamareddy ,June, 
Kamareddy ,July,0
Kamareddy ,August,0
Kamareddy ,September,0
Kamareddy ,October,0
Kamareddy ,November,0
Kamareddy ,December,0
Karimnagar ,January,0
Karimnagar ,February,0
Karimnagar ,March,0
Karimnagar ,April,0
Karimnagar ,May,0
Karimnagar ,June,0
Karimnagar ,July,0
Karimnagar ,August,0
Karimnagar ,September,0
Karimnagar ,October,0
Karimnagar ,November,0
Karimnagar ,December,0
Khammam,January,0
Khammam,February,0
Khammam,March,0
Khammam,April,0
Khammam,May,0
Khammam,June,0
Khammam,July,0
Khammam,August,0
Khammam,September,0
Khammam,October,0
Khammam,November,0
Khammam,December,0
Komaram Bheem Asifabad,January,0
Komaram Bheem Asifabad,February,0
Komaram Bheem Asifabad,March,0
Komaram Bheem Asifabad,April,0
Komaram Bheem Asifabad,May,0
Komaram Bheem Asifabad,June,0
Komaram Bheem Asifabad,July,0
Komaram Bheem Asifabad,August,0
Komaram Bheem Asifabad,September,0
Komaram Bheem Asifabad,October,0
Komaram Bheem Asifabad,November,0
Komaram Bheem Asifabad,December,0
Mahabubabad ,January,0
Mahabubabad ,February,0
Mahabubabad ,March,0
Mahabubabad ,April,0
Mahabubabad ,May,0
Mahabubabad ,June,0
Mahabubabad ,July,0
Mahabubabad ,August,0
Mahabubabad ,September,0
Mahabubabad ,October,0
Mahabubabad ,November,0
Mahabubabad ,December,0
Mahbubnagar,January,45
Mahbubnagar,February,29
Mahbubnagar,March,0
Mahbubnagar,April,0
Mahbubnagar,May,0
Mahbubnagar,June,0
Mahbubnagar,July,0
Mahbubnagar,August,0
Mahbubnagar,September,0
Mahbubnagar,October,0
Mahbubnagar,November,0
Mahbubnagar,December,0
Mancherial,January,0
Mancherial,February,0
Mancherial,March,0
Mancherial,April,0
Mancherial,May,0
Mancherial,June,0
Mancherial,July,0
Mancherial,August,0
Mancherial,September,0
Mancherial,October,0
Mancherial,November,0
Mancherial,December,0
Medak ,January,0
Medak ,February,0
Medak ,March,0
Medak ,April,0
Medak ,May,0
Medak ,June,0
Medak ,July,0
Medak ,August,0
Medak ,September,0
Medak ,October,0
Medak ,November,0
Medak ,December,0
Medchal ,January, 
Medchal ,February, 
Medchal ,March, 
Medchal ,April, 
Medchal ,May, 
Medchal ,June, 
Medchal ,July, 
Medchal ,August, 
Medchal ,September, 
Medchal ,October, 
Medchal ,November, 
Medchal ,December, 
Mulugu,January,70
Mulugu,February,60
Mulugu,March,15
Mulugu,April,0
Mulugu,May,0
Mulugu,June,0
Mulugu,July,0
Mulugu,August,0
Mulugu,September,0
Mulugu,October,0
Mulugu,November,0
Mulugu,December,0
Nagarkurnool ,January,35
Nagarkurnool ,February,15
Nagarkurnool ,March,0
Nagarkurnool ,April,0
Nagarkurnool ,May,0
Nagarkurnool ,June,0
Nagarkurnool ,July,0
Nagarkurnool ,August,0
Nagarkurnool ,September,0
Nagarkurnool ,October,0
Nagarkurnool ,November,0
Nagarkurnool ,December,0
Nalgonda,January,0
Nalgonda,February,0
Nalgonda,March,0
Nalgonda,April,0
Nalgonda,May,0
Nalgonda,June,0
Nalgonda,July,0
Nalgonda,August,0
Nalgonda,September,0
Nalgonda,October,0
Nalgonda,November,0
Nalgonda,December,0
Narayanpet,January,0
Narayanpet,February,0
Narayanpet,March,0
Narayanpet,April,0
Narayanpet,May,0
Narayanpet,June,0
Narayanpet,July,0
Narayanpet,August,0
Narayanpet,September,0
Narayanpet,October,0
Narayanpet,November,0
Narayanpet,December,0
Nirmal,January,0
Nirmal,February,0
Nirmal,March,0
Nirmal,April,0
Nirmal,May,0
Nirmal,June,0
Nirmal,July,0
Nirmal,August,0
Nirmal,September,0
Nirmal,October,0
Nirmal,November,0
Nirmal,December,0
Nizamabad,January,0
Nizamabad,February,0
Nizamabad,March,0
Nizamabad,April,0
Nizamabad,May,0
Nizamabad,June,0
Nizamabad,July,0
Nizamabad,August,0
Nizamabad,September,0
Nizamabad,October,0
Nizamabad,November,0
Nizamabad,December,0
Peddapalli,January,0
Peddapalli,February,0
Peddapalli,March,0
Peddapalli,April,0
Peddapalli,May,0
Peddapalli,June,0
Peddapalli,July,0
Peddapalli,August,0
Peddapalli,September,0
Peddapalli,October,0
Peddapalli,November,0
Peddapalli,December,0
Rajanna Sircilla ,January,0
Rajanna Sircilla ,February,0
Rajanna Sircilla ,March,0
Rajanna Sircilla ,April,0
Rajanna Sircilla ,May,0
Rajanna Sircilla ,June,0
Rajanna Sircilla ,July,0
Rajanna Sircilla ,August,0
Rajanna Sircilla ,September,0
Rajanna Sircilla ,October,0
Rajanna Sircilla ,November,0
Rajanna Sircilla ,December,0
Ranga Reddy,January,
Ranga Reddy,February,
Ranga Reddy,March,
Ranga Reddy,April,
Ranga Reddy,May,
Ranga Reddy,June,
Ranga Reddy,July,
Ranga Reddy,August,
Ranga Reddy,September,
Ranga Reddy,October,
Ranga Reddy,November,
Ranga Reddy,December,
Sangareddy ,January,0
Sangareddy ,February,0
Sangareddy ,March,0
Sangareddy ,April,0
Sangareddy ,May,0
Sangareddy ,June,0
Sangareddy ,July,0
Sangareddy ,August,0
Sangareddy ,September,0
Sangareddy ,October,0
Sangareddy ,November,0
Sangareddy ,December,0
Siddipet,January,0
Siddipet,February,0
Siddipet,March,0
Siddipet,April,0
Siddipet,May,0
Siddipet,June,0
Siddipet,July,0
Siddipet,August,0
Siddipet,September,0
Siddipet,October,0
Siddipet,November,0
Siddipet,December,0
Suryapet,January,0
Suryapet,February,0
Suryapet,March,0
Suryapet,April,0
Suryapet,May,0
Suryapet,June,0
Suryapet,July,0
Suryapet,August,0
Suryapet,September,0
Suryapet,October,0
Suryapet,November,0
Suryapet,December,0
Vikarabad,January,
Vikarabad,February,
Vikarabad,March,
Vikarabad,April,
Vikarabad,May,
Vikarabad,June,
Vikarabad,July,
Vikarabad,August,
Vikarabad,September,
Vikarabad,October,
Vikarabad,November,
Vikarabad,December,
Wanaparthy ,January,0
Wanaparthy ,February,0
Wanaparthy ,March,0
Wanaparthy ,April,0
Wanaparthy ,May,0
Wanaparthy ,June,0
Wanaparthy ,July,0
Wanaparthy ,August,0
Wanaparthy ,September,0
Wanaparthy ,October,0
Wanaparthy ,November,0
Wanaparthy ,December,0
Warangal (Rural),January,0
Warangal (Rural),February,0
Warangal (Rural),March,0
Warangal (Rural),April,0
Warangal (Rural),May,0
Warangal (Rural),June,0
Warangal (Rural),July,0
Warangal (Rural),August,0
Warangal (Rural),September,0
Warangal (Rural),October,0
Warangal (Rural),November,0
Warangal (Rural),December,0
Warangal (Urban),January,225
Warangal (Urban),February,225
Warangal (Urban),March,80
Warangal (Urban),April,0
Warangal (Urban),May,0
Warangal (Urban),June,0
Warangal (Urban),July,0
Warangal (Urban),August,0
Warangal (Urban),September,0
Warangal (Urban),October,0
Warangal (Urban),November,0
Warangal (Urban),December,0
Yadadri Bhongir,January,0
Yadadri Bhongir,February,0
Yadadri Bhongir,March,0
Yadadri Bhongir,April,0
Yadadri Bhongir,May,0
Yadadri Bhongir,June,0
Yadadri Bhongir,July,0
Yadadri Bhongir,August,0
Yadadri Bhongir,September,0
Yadadri Bhongir,October,0
Yadadri Bhongir,November,0
Yadadri Bhongir,December,0